avg_temp,precip,snow,wind_dir,wind_speed,wind_power,air_pressure,max_temp,min_temp,features,prediction
11.3,17.5,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,15.7,8.6,"[11.3,17.5,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,15.7,8.6]",0
-2.0,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,1.4,-3.1,"[-2.0,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,1.4,-3.1]",0
13.3,0.6,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,16.0,11.8,"[13.3,0.6,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,16.0,11.8]",0
18.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,25.1,12.1,"[18.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,25.1,12.1]",0
-3.3,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,-1.3,-5.7,"[-3.3,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,-1.3,-5.7]",0
4.0,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,8.4,1.0,"[4.0,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,8.4,1.0]",0
7.9,30.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,12.9,6.0,"[7.9,30.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,12.9,6.0]",0
2.8,0.0,180.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,4.9,1.6,"[2.8,0.0,180.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,4.9,1.6]",2
5.9,8.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,8.2,3.9,"[5.9,8.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,8.2,3.9]",0
-0.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,2.8,-2.1,"[-0.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,2.8,-2.1]",0
